Leaked composite object at 0x556aa4824ef0 (tests/leak_test.c:19, sz=8, NORMAL)

Leaked composite object at 0x556aa4825ee0 (tests/leak_test.c:19, sz=9, NORMAL)

Leaked composite object at 0x556aa4825f20 (tests/leak_test.c:19, sz=10, NORMAL)

Leaked composite object at 0x556aa4825f60 (tests/leak_test.c:19, sz=11, NORMAL)

Leaked composite object at 0x556aa4824f20 (tests/leak_test.c:19, sz=4, NORMAL)

Leaked composite object at 0x556aa4824f50 (tests/leak_test.c:19, sz=5, NORMAL)

Leaked composite object at 0x556aa4824f80 (tests/leak_test.c:19, sz=6, NORMAL)

Leaked composite object at 0x556aa4824fb0 (tests/leak_test.c:19, sz=7, NORMAL)

Leaked composite object at 0x556aa4824fe0 (tests/leak_test.c:12, sz=4, NORMAL)

