Leaked composite object at 0x558654077ef0 (tests/leak_test.c:19, sz=8, NORMAL)

Leaked composite object at 0x558654078ee0 (tests/leak_test.c:19, sz=9, NORMAL)

Leaked composite object at 0x558654078f20 (tests/leak_test.c:19, sz=10, NORMAL)

Leaked composite object at 0x558654078f60 (tests/leak_test.c:19, sz=11, NORMAL)

Leaked composite object at 0x558654077f20 (tests/leak_test.c:19, sz=4, NORMAL)

Leaked composite object at 0x558654077f50 (tests/leak_test.c:19, sz=5, NORMAL)

Leaked composite object at 0x558654077f80 (tests/leak_test.c:19, sz=6, NORMAL)

Leaked composite object at 0x558654077fb0 (tests/leak_test.c:19, sz=7, NORMAL)

Leaked composite object at 0x558654077fe0 (tests/leak_test.c:12, sz=4, NORMAL)

