Leaked composite object at 0x55a14dddaef0 (tests/leak_test.c:19, sz=8, NORMAL)

Leaked composite object at 0x55a14dddbee0 (tests/leak_test.c:19, sz=9, NORMAL)

Leaked composite object at 0x55a14dddbf20 (tests/leak_test.c:19, sz=10, NORMAL)

Leaked composite object at 0x55a14dddbf60 (tests/leak_test.c:19, sz=11, NORMAL)

Leaked composite object at 0x55a14dddaf20 (tests/leak_test.c:19, sz=4, NORMAL)

Leaked composite object at 0x55a14dddaf50 (tests/leak_test.c:19, sz=5, NORMAL)

Leaked composite object at 0x55a14dddaf80 (tests/leak_test.c:19, sz=6, NORMAL)

Leaked composite object at 0x55a14dddafb0 (tests/leak_test.c:19, sz=7, NORMAL)

Leaked composite object at 0x55a14dddafe0 (tests/leak_test.c:12, sz=4, NORMAL)

