Leaked composite object at 0x562664bc8ef0 (tests/leak_test.c:19, sz=8, NORMAL)

Leaked composite object at 0x562664bc9ee0 (tests/leak_test.c:19, sz=9, NORMAL)

Leaked composite object at 0x562664bc9f20 (tests/leak_test.c:19, sz=10, NORMAL)

Leaked composite object at 0x562664bc9f60 (tests/leak_test.c:19, sz=11, NORMAL)

Leaked composite object at 0x562664bc8f20 (tests/leak_test.c:19, sz=4, NORMAL)

Leaked composite object at 0x562664bc8f50 (tests/leak_test.c:19, sz=5, NORMAL)

Leaked composite object at 0x562664bc8f80 (tests/leak_test.c:19, sz=6, NORMAL)

Leaked composite object at 0x562664bc8fb0 (tests/leak_test.c:19, sz=7, NORMAL)

Leaked composite object at 0x562664bc8fe0 (tests/leak_test.c:12, sz=4, NORMAL)

